127.0.0.1 - - [24/Apr/2023:18:08:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:08:15 +0900] "GET /html/index.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:08:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:08:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:09:02 +0900] "GET /html/index.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:09:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:09:39 +0900] "GET /html/index.html HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:09:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:10:00 +0900] "GET /html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:10:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:11:33 +0900] "GET /html/index.html HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:12:35 +0900] "GET /html/index.html HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:14:15 +0900] "GET /html/index.html HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:15:14 +0900] "GET /html/index.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:16:28 +0900] "GET /html/index.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:17:07 +0900] "GET /html/index.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:18:54 +0900] "GET /html/index.html HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:19:38 +0900] "GET /html/index.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [24/Apr/2023:18:22:54 +0900] "GET /html/index.html HTTP/1.1" 200 362
